case,recovery_scenario,sa,metric,statistic,mean,mc_ci95_low,mc_ci95_high,n_mc_samples
A,capacity_recovery_tradeoff,0.2,recovery_rapidity_90,mean_spearman_rho,1.0,1.0,1.0,10000
A,capacity_recovery_tradeoff,0.4,recovery_rapidity_90,mean_spearman_rho,0.9926133333333333,0.9333333333333332,1.0,10000
A,capacity_recovery_tradeoff,0.6,recovery_rapidity_90,mean_spearman_rho,0.8809433333333334,0.5333333333333333,0.9333333333333332,10000
A,capacity_recovery_tradeoff,0.8,recovery_rapidity_90,mean_spearman_rho,0.6728333333333334,0.39999999999999997,0.7666666666666666,10000
A,capacity_recovery_tradeoff,1.0,recovery_rapidity_90,mean_spearman_rho,0.4782700000000001,0.3333333333333333,1.0,10000
A,aligned_capacity_recovery,0.2,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.4,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.6,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.8,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,1.0,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.2,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.4,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.6,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.8,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,1.0,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.2,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.4,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.6,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.8,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,1.0,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.2,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.4,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.6,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.8,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,1.0,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.2,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.4,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.6,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.8,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,1.0,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.2,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.4,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.6,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.8,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,1.0,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.2,functionality_day_30,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.4,functionality_day_30,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.6,functionality_day_30,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.8,functionality_day_30,pairwise_reversal_rate,0.0009983333333333333,0.0,0.0,10000
A,aligned_capacity_recovery,1.0,functionality_day_30,pairwise_reversal_rate,0.002568333333333333,0.0,0.0,10000
A,aligned_capacity_recovery,0.2,functionality_day_30,mean_top3_jaccard,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.4,functionality_day_30,mean_top3_jaccard,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.6,functionality_day_30,mean_top3_jaccard,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.8,functionality_day_30,mean_top3_jaccard,0.9984166666666666,1.0,1.0,10000
A,aligned_capacity_recovery,1.0,functionality_day_30,mean_top3_jaccard,0.9967833333333332,1.0,1.0,10000
A,aligned_capacity_recovery,0.2,functionality_day_30,mean_kendall_tau,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.4,functionality_day_30,mean_kendall_tau,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.6,functionality_day_30,mean_kendall_tau,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.8,functionality_day_30,mean_kendall_tau,0.9984466666666667,1.0,1.0,10000
A,aligned_capacity_recovery,1.0,functionality_day_30,mean_kendall_tau,0.9957,1.0,1.0,10000
A,aligned_capacity_recovery,0.2,functionality_day_30,mean_spearman_rho,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.4,functionality_day_30,mean_spearman_rho,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.6,functionality_day_30,mean_spearman_rho,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.8,functionality_day_30,mean_spearman_rho,0.9990600000000001,1.0,1.0,10000
A,aligned_capacity_recovery,1.0,functionality_day_30,mean_spearman_rho,0.99665,1.0,1.0,10000
A,aligned_capacity_recovery,0.2,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.4,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.6,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.8,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,1.0,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.2,functionality_day_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.4,functionality_day_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.6,functionality_day_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,aligned_capacity_recovery,0.8,functionality_day_90,pairwise_reversal_rate,0.00029000000000000006,0.0,0.0,10000
A,aligned_capacity_recovery,1.0,functionality_day_90,pairwise_reversal_rate,0.0013816666666666667,0.0,0.0,10000
A,aligned_capacity_recovery,0.2,functionality_day_90,mean_top3_jaccard,1.0,1.0,1.0,10000
A,aligned_capacity_recovery,0.4,functionality_day_90,mean_top3_jaccard,1.0,1.0,1.0,10000
